日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-03-20,=5772.6500,=12121.5800,=24146985436231.3125,=15938202596389,=5176079006417.8994,=0.8846,=0.5371,=1.1096,=0.8596,=0.7113
2026-03-19,=5799.1900,=12177.3200,=24288465659526.4648,=16050799474511,=5202452064512.2373,=0.8898,=0.5398,=1.1098,=0.8590,=0.7110
2026-03-18,=5833.4000,=12249.1600,=23955533835180.2813,=15879754709196,=5213421009029.8984,=0.8776,=0.5243,=1.1098,=0.8584,=0.7110
2026-03-17,=5868.4800,=12322.8200,=24082382696113.6328,=15959650223956,=5237108146201.1709,=0.8823,=0.5338,=1.1099,=0.8584,=0.7110
2026-03-16,=5912.3700,=12414.9700,=23960753580803.0625,=15864205543669,=5217739565919.6211,=0.8778,=0.5247,=1.1099,=0.8584,=0.7110
2026-03-13,=5954.4600,=12503.3600,=23939827358289.4297,=15879958796870,=5232697350039.1191,=0.8784,=0.5255,=1.1099,=0.8596,=0.7113
2026-03-12,=5976.5300,=12549.7100,=24015020812568.7148,=15921606962918,=5238156247951.1973,=0.8812,=0.5299,=1.1100,=0.8590,=0.7110
2026-03-11,=5905.1800,=12399.8800,=23823819227962.5625,=15813562376762,=5212116755153.8613,=0.8741,=0.5194,=1.1100,=0.8584,=0.7110
2026-03-10,=5820.4900,=12222.0400,=23547131520314.5391,=15638571298133,=5153676874678.4287,=0.8640,=0.5066,=1.1100,=0.8584,=0.7110
2026-03-09,=5864.5100,=12314.4800,=23993099258126.5195,=15904184549151,=5173301194604.1387,=0.8804,=0.5280,=1.1100,=0.8584,=0.7110
2026-03-06,=5860.5100,=12306.0700,=23748747308714.1484,=15814713686351,=5186413451378.3496,=0.8714,=0.5148,=1.1106,=0.8596,=0.7113
2026-03-05,=5849.5200,=12283.0100,=23867532280236.4023,=15886377743294,=5183215156566.7207,=0.8757,=0.5204,=1.1106,=0.8590,=0.7110
2026-03-04,=5856.1500,=12296.9300,=23964753509592.6719,=15941851582273,=5168853827698.3691,=0.8793,=0.5247,=1.1106,=0.8584,=0.7110
2026-03-03,=5952.0900,=12498.3900,=24203349378408.8594,=16101533217035,=5230094002219.8018,=0.8881,=0.5346,=1.1106,=0.8584,=0.7110
2026-03-02,=5905.2500,=12400.0300,=23393247159207.5352,=15624406518170,=5158596660609.5908,=0.8583,=0.4988,=1.1106,=0.8584,=0.7110
2026-02-27,=5826.7100,=12235.1100,=22763986431160.0664,=15247346399043,=5097809708648.4375,=0.8353,=0.4592,=1.1106,=0.8599,=0.7113
2026-02-26,=5768.9200,=12113.7500,=22747301470732.7969,=15237372969903,=5088687052160.2383,=0.8346,=0.4586,=1.1106,=0.8599,=0.7110
2026-02-25,=5785.5700,=12148.7200,=22936033747961.6133,=15343619002737,=5118676299910.9873,=0.8416,=0.4685,=1.1106,=0.8600,=0.7110
2026-02-24,=5754.4100,=12083.2900,=23004760989332.2148,=15359995298775,=5114151608643.6699,=0.8441,=0.4726,=1.1106,=0.8602,=0.7110
2026-02-13,=5668.2200,=11902.3100,=22721455210383.9063,=15210885539421,=5079304657566.0586,=0.8337,=0.4552,=1.1106,=0.8614,=0.7121
2026-02-12,=5751.6400,=12077.4800,=23117949891042.4297,=15472470001691,=5148360914962.8096,=0.8482,=0.4772,=1.1106,=0.8615,=0.7121
2026-02-11,=5770.1300,=12116.3000,=23291225412669.4570,=15599977583476,=5191151288925.5000,=0.8546,=0.4877,=1.1106,=0.8615,=0.7113
2026-02-10,=5730.0100,=12028.8100,=23190797885949.9883,=15528079870619,=5175060671176.7607,=0.8509,=0.4813,=1.1106,=0.8615,=0.7113
2026-02-09,=5709.0600,=11984.8500,=23107938699905.3867,=15492240683135,=5168594763869.9209,=0.8479,=0.4765,=1.1106,=0.8615,=0.7113
2026-02-06,=5671.1200,=11904,=23003049885021.4414,=15409766936322,=5132081324192.1191,=0.8440,=0.4714,=1.1106,=0.8621,=0.7113
2026-02-05,=5686.5100,=11932.8400,=23001448228807.7070,=15427388961800,=5151509174713.2031,=0.8436,=0.4712,=1.1106,=0.8627,=0.7113
2026-02-04,=5712.0300,=11983.0900,=22925300571401.6211,=15386450968969,=5131803819597.9404,=0.8406,=0.4658,=1.1106,=0.8629,=0.7113
2026-02-03,=5563.8000,=11670.1500,=22576240200301.2930,=15127063040676,=5039945028814.4287,=0.8278,=0.4415,=1.1106,=0.8635,=0.7113
2026-02-02,=5521.8700,=11582.1900,=22779111801730.0547,=15262510308126,=5041588532457.4414,=0.8352,=0.4576,=1.1106,=0.8638,=0.7113
2026-01-30,=5700.0100,=11955.8300,=23023786227170.2109,=15421291657909,=5110721484195.1787,=0.8442,=0.4697,=1.1106,=0.8647,=0.7113
2026-01-29,=5757.6400,=12076.7200,=23136959408068.1523,=15473648109805,=5153367696232.9365,=0.8483,=0.4753,=1.1106,=0.8647,=0.7113
